"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 26 17:29:16 IST 2024","Sun May 26 17:29:19 IST 2024","2988","Default Suite","Rest_Assured","testrunner.SystemTestRunner","testrunner.SystemTestRunner","addMoneyToAgent","system can successfully deposit money to agent",""
"passed","Sun May 26 17:26:34 IST 2024","Sun May 26 17:26:37 IST 2024","3166","Default Suite","Rest_Assured","testrunner.LoginTestRunner","testrunner.LoginTestRunner","doLogin","Admin can login successfully",""
"failed","Sun May 26 17:29:10 IST 2024","Sun May 26 17:29:11 IST 2024","125","Default Suite","Rest_Assured","testrunner.AgentTestRunner","testrunner.AgentTestRunner","depositMoneyToCustomer","Agent can deposit money successfully",""
"passed","Sun May 26 17:29:07 IST 2024","Sun May 26 17:29:10 IST 2024","3590","Default Suite","Rest_Assured","testrunner.AgentTestRunner","testrunner.AgentTestRunner","doLogin","Agent login successful",""
"passed","Sun May 26 17:26:52 IST 2024","Sun May 26 17:26:56 IST 2024","3510","Default Suite","Rest_Assured","testrunner.CreateTestRunner","testrunner.CreateTestRunner","createUser","Admin can create first user successfully",""
"passed","Sun May 26 17:26:56 IST 2024","Sun May 26 17:26:57 IST 2024","218","Default Suite","Rest_Assured","testrunner.CreateTestRunner","testrunner.CreateTestRunner","createMerchant","Admin can create merchant successfully",""
"passed","Sun May 26 17:25:31 IST 2024","Sun May 26 17:25:31 IST 2024","64","dmoney Rest Assured Automation","customer 2 Automation","testrunner.Customer2TestRunner","testrunner.Customer2TestRunner","checkBalance","Customer can successfully check balance",""
"passed","Sun May 26 17:25:31 IST 2024","Sun May 26 17:25:31 IST 2024","63","dmoney Rest Assured Automation","customer Automation","testrunner.CustomerTestRunner","testrunner.CustomerTestRunner","withdrawMoneyToAgent","Customer can withdraw successfully from agent",""
"passed","Sun May 26 17:25:31 IST 2024","Sun May 26 17:25:31 IST 2024","77","dmoney Rest Assured Automation","customer Automation","testrunner.CustomerTestRunner","testrunner.CustomerTestRunner","sendMoneyTOAnotherCustomer","Customer can send money successfully to another customer",""
"passed","Sun May 26 17:25:31 IST 2024","Sun May 26 17:25:31 IST 2024","74","dmoney Rest Assured Automation","customer Automation","testrunner.CustomerTestRunner","testrunner.CustomerTestRunner","doLogin","Customer login successful",""
"passed","Sun May 26 17:25:31 IST 2024","Sun May 26 17:25:31 IST 2024","63","dmoney Rest Assured Automation","customer 2 Automation","testrunner.Customer2TestRunner","testrunner.Customer2TestRunner","paymentToMerchant","Payment successful to merchant",""
"passed","Sun May 26 17:25:31 IST 2024","Sun May 26 17:25:31 IST 2024","60","dmoney Rest Assured Automation","customer 2 Automation","testrunner.Customer2TestRunner","testrunner.Customer2TestRunner","doLogin","Customer login successful",""
"passed","Sun May 26 17:26:56 IST 2024","Sun May 26 17:26:56 IST 2024","275","Default Suite","Rest_Assured","testrunner.CreateTestRunner","testrunner.CreateTestRunner","createUser2","Admin can create second user successfully",""
"passed","Sun May 26 17:26:56 IST 2024","Sun May 26 17:26:56 IST 2024","212","Default Suite","Rest_Assured","testrunner.CreateTestRunner","testrunner.CreateTestRunner","createAgent","Admin can create agent successfully",""
